Country Code,code,Region,IncomeGroup,TableName,SpecialNotes,,,
TEC,,,,Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD countries) aggregate.,,,
TGO,,Sub-Saharan Africa,Low income,Togo,,,,
THA,THB,East Asia & Pacific,Upper middle income,Thailand,Fiscal year end: September 30, reporting period for national accounts data: CY.,,
TJK,,Europe & Central Asia,Lower middle income,Tajikistan,,,,
TKM,,Europe & Central Asia,Upper middle income,Turkmenistan,,,,
TLA,,,,Latin America & Caribbean (IDA & IBRD),Latin America & the Caribbean (IDA & IBRD countries) aggregate.,,,
TLS,,East Asia & Pacific,Lower middle income,Timor-Leste,WB-3 code changed from TMP to TLS to align with ISO code.,,,
TMN,,,,Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD countries) aggregate.,,,
TON,,East Asia & Pacific,Upper middle income,Tonga,,,,
TSA,,,,South Asia (IDA & IBRD),South Asia (IDA & IBRD countries) aggregate.,,,
TSS,,,,Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries) aggregate.,,,
TTO,TTD,Latin America & Caribbean,High income,Trinidad and Tobago,,,,
TUN,TND,Middle East & North Africa,Lower middle income,Tunisia,,,,
TUR,TRY,Europe & Central Asia,Upper middle income,Turkey,,,,
TUV,,East Asia & Pacific,Upper middle income,Tuvalu,Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.,,,
TZA,,Sub-Saharan Africa,Low income,Tanzania,Tanzania reports using a blend of SNA 1993 and SNA 2008.,,,
UGA,,Sub-Saharan Africa,Low income,Uganda,Fiscal year end: June 30, reporting period for national accounts data: FY.,,
UKR,,Europe & Central Asia,Lower middle income,Ukraine,The new base year is 2010.,,,
UMC,,,,Upper middle income,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2015 GNI per capita was between $4,036 and $12,475.",,,
URY,UYU,Latin America & Caribbean,High income,Uruguay,,,,
USA,,North America,High income,United States,Fiscal year end: September 30, reporting period for national accounts data: CY.,,
UZB,,Europe & Central Asia,Lower middle income,Uzbekistan,,,,
VCT,,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines,,,,
VEN,,Latin America & Caribbean,Upper middle income,"Venezuela, RB",,,,
VGB,,Latin America & Caribbean,High income,British Virgin Islands,,,,
VIR,,Latin America & Caribbean,High income,Virgin Islands (U.S.),,,,
VNM,VND,East Asia & Pacific,Lower middle income,Vietnam,,,,
VUT,,East Asia & Pacific,Lower middle income,Vanuatu,"Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.",,,
WLD,,,,World,World aggregate.,,,
WSM,,East Asia & Pacific,Upper middle income,Samoa,"Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The base year is 2008/09. Other methodological changes include increased reliance on summary data from the country’s Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.",,,
XKX,,Europe & Central Asia,Lower middle income,Kosovo,WB-3 code changed from KSV to XKX to align with ISO provisional code.,,,
YEM,,Middle East & North Africa,Lower middle income,"Yemen, Rep.","Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The base year has reverted to 1990.",,,
ZAF,ZAR,Sub-Saharan Africa,Upper middle income,South Africa,Fiscal year end: March 31, reporting period for national accounts data: CY.,,
ZMB,,Sub-Saharan Africa,Lower middle income,Zambia,"The base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008.",,,
ZWE,,Sub-Saharan Africa,Low income,Zimbabwe,"Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",,,
